move_order,gamma,width,height,goal_rows,rel_tol,states,pure_states,degenerate_states,mixed_states,mixed_fraction,iterations,lp_calls,runtime_s,kickoff_value,max_value_bracket_gap,duality_gap
random,0.9,3,3,1,1e-06,144,24,120,0,0.0,7,0,0.017,0.0,0.0,nan
random,0.9,3,4,1|2,1e-06,264,84,148,32,0.12121212121212122,44,1284,1.52,0.190575,5.551115123125783e-17,nan
random,0.9,3,5,1|2|3,1e-06,420,100,282,38,0.09047619047619047,58,2040,2.477,0.233529,1.1102230246251565e-16,nan
random,0.9,3,6,1|2|3|4,1e-06,612,116,452,44,0.0718954248366013,56,2320,3.143,0.24207,1.942890293094024e-16,nan
random,0.9,3,7,1|2|3|4|5,1e-06,840,132,658,50,0.05952380952380952,68,3206,4.283,0.238913,1.6653345369377348e-16,nan
random,0.9,3,8,1|2|3|4|5|6,1e-06,1104,148,900,56,0.050724637681159424,68,3616,4.904,0.240097,2.220446049250313e-16,nan
random,0.9,3,9,1|2|3|4|5|6|7,1e-06,1404,164,1178,62,0.04415954415954416,68,3974,5.485,0.240899,1.6653345369377348e-16,nan
random,0.9,4,3,1,1e-06,264,32,232,0,0.0,9,0,0.038,0.0,0.0,nan
random,0.9,4,4,1|2,1e-06,480,164,276,40,0.08333333333333333,62,2352,2.959,0.153107,9.71445146547012e-17,nan
random,0.9,4,5,1|2|3,1e-06,760,206,508,46,0.060526315789473685,74,3234,4.221,0.21943,8.326672684688674e-17,nan
random,0.9,4,6,1|2|3|4,1e-06,1104,248,800,56,0.050724637681159424,74,3992,5.308,0.229642,2.498001805406602e-16,nan
random,0.9,4,7,1|2|3|4|5,1e-06,1512,290,1156,66,0.04365079365079365,80,5074,6.955,0.232437,2.220446049250313e-16,nan
random,0.9,4,8,1|2|3|4|5|6,1e-06,1984,332,1576,76,0.038306451612903226,80,5852,8.804,0.233098,1.3877787807814457e-16,nan
random,0.9,4,9,1|2|3|4|5|6|7,1e-06,2520,374,2060,86,0.034126984126984124,80,6594,11.106,0.232198,1.6653345369377348e-16,nan
random,0.9,5,3,1,1e-06,420,40,380,0,0.0,11,0,0.074,0.0,0.0,nan
random,0.9,5,4,1|2,1e-06,760,256,448,56,0.07368421052631578,72,3820,5.484,0.146852,1.942890293094024e-16,nan
random,0.9,5,5,1|2|3,1e-06,1200,326,820,54,0.045,81,4284,8.827,0.186572,1.6653345369377348e-16,nan
random,0.9,5,6,1|2|3|4,1e-06,1740,408,1264,68,0.03908045977011494,87,5852,8.282,0.191873,1.6653345369377348e-16,nan
random,0.9,5,7,1|2|3|4|5,1e-06,2380,492,1808,80,0.03361344537815126,97,7680,12.782,0.194372,2.220446049250313e-16,nan
random,0.9,5,8,1|2|3|4|5|6,1e-06,3120,576,2452,92,0.029487179487179487,89,8112,12.508,0.196164,1.6653345369377348e-16,nan
random,0.9,5,9,1|2|3|4|5|6|7,1e-06,3960,658,3196,106,0.026767676767676767,100,10460,16.301,0.19554,1.3877787807814457e-16,nan
random,0.9,6,3,1,1e-06,612,48,564,0,0.0,13,0,0.12,0.0,0.0,nan
random,0.9,6,4,1|2,1e-06,1104,352,664,88,0.07971014492753623,74,5984,7.334,0.119897,5.551115123125783e-17,nan
random,0.9,6,5,1|2|3,1e-06,1740,452,1218,70,0.040229885057471264,77,5210,7.466,0.165026,1.1102230246251565e-16,nan
random,0.9,6,6,1|2|3|4,1e-06,2520,572,1860,88,0.03492063492063492,96,8224,12.866,0.180976,1.6653345369377348e-16,nan
random,0.9,6,7,1|2|3|4|5,1e-06,3444,710,2630,104,0.030197444831591175,101,10252,15.601,0.182455,1.6653345369377348e-16,nan
random,0.9,6,8,1|2|3|4|5|6,1e-06,4512,848,3544,120,0.026595744680851064,99,11592,20.445,0.184402,1.6653345369377348e-16,nan
random,0.9,6,9,1|2|3|4|5|6|7,1e-06,5724,986,4602,136,0.023759608665269043,101,13406,22.124,0.1856,3.885780586188048e-16,nan
random,0.9,7,3,1,1e-06,840,56,784,0,0.0,15,0,0.195,0.0,0.0,nan
random,0.9,7,4,1|2,1e-06,1512,472,940,100,0.06613756613756613,70,6452,8.63,0.10669,5.551115123125783e-17,nan
random,0.9,7,5,1|2|3,1e-06,2380,604,1682,94,0.03949579831932773,108,9672,16.738,0.150132,2.220446049250313e-16,nan
