state,carrier_support,defender_support,carrier_degenerate,defender_degenerate,kind
"(0, 0, 1, 1, 0)",2,2,True,False,carrier face
"(0, 0, 2, 0, 0)",3,3,True,False,carrier face
"(0, 1, 1, 0, 1)",2,2,False,False,unique
"(0, 1, 1, 1, 0)",2,2,False,False,unique
"(0, 1, 1, 1, 1)",2,2,False,False,unique
"(0, 1, 2, 1, 1)",2,2,False,False,unique
"(0, 2, 1, 2, 0)",2,1,False,True,defender pure-tied
"(0, 2, 1, 2, 1)",2,1,False,True,defender pure-tied
"(0, 2, 2, 2, 0)",2,1,False,True,defender pure-tied
"(0, 2, 2, 2, 1)",3,2,False,True,defender face
"(0, 3, 1, 3, 0)",2,2,False,False,unique
"(0, 3, 1, 3, 1)",2,2,False,False,unique
"(0, 3, 1, 4, 1)",2,2,False,False,unique
"(0, 3, 2, 3, 1)",2,2,False,False,unique
"(0, 4, 1, 3, 0)",2,2,True,False,carrier face
"(0, 4, 2, 4, 0)",3,3,True,False,carrier face
"(1, 0, 2, 1, 0)",2,2,False,False,unique
"(1, 1, 1, 0, 1)",2,2,False,False,unique
"(1, 1, 2, 0, 1)",2,2,False,False,unique
"(1, 1, 2, 1, 0)",2,2,False,False,unique
"(1, 1, 2, 1, 1)",2,2,False,False,unique
"(1, 1, 3, 1, 0)",2,2,False,False,unique
"(1, 1, 3, 1, 1)",2,2,False,False,unique
"(1, 2, 2, 2, 0)",2,1,False,True,defender pure-tied
"(1, 2, 2, 2, 1)",2,1,False,True,defender pure-tied
"(1, 2, 3, 2, 0)",3,2,False,True,defender face
"(1, 2, 3, 2, 1)",3,2,False,True,defender face
"(1, 3, 1, 4, 1)",2,2,False,False,unique
"(1, 3, 2, 3, 0)",2,2,False,False,unique
"(1, 3, 2, 3, 1)",2,2,False,False,unique
"(1, 3, 2, 4, 1)",2,2,False,False,unique
"(1, 3, 3, 3, 0)",2,2,False,False,unique
"(1, 3, 3, 3, 1)",2,2,False,False,unique
"(1, 4, 2, 3, 0)",2,2,False,False,unique
"(2, 0, 3, 1, 0)",2,2,False,False,unique
"(2, 1, 3, 0, 1)",2,2,False,False,unique
"(2, 1, 3, 1, 0)",2,2,False,False,unique
"(2, 1, 3, 1, 1)",2,2,False,False,unique
"(2, 1, 4, 1, 0)",2,2,False,False,unique
"(2, 1, 4, 1, 1)",2,2,False,False,unique
"(2, 2, 3, 2, 0)",2,1,False,True,defender pure-tied
"(2, 2, 3, 2, 1)",2,1,False,True,defender pure-tied
"(2, 2, 4, 2, 0)",3,2,False,True,defender face
"(2, 2, 4, 2, 1)",3,2,False,True,defender face
"(2, 3, 3, 3, 0)",2,2,False,False,unique
"(2, 3, 3, 3, 1)",2,2,False,False,unique
"(2, 3, 3, 4, 1)",2,2,False,False,unique
"(2, 3, 4, 3, 0)",2,2,False,False,unique
"(2, 3, 4, 3, 1)",2,2,False,False,unique
"(2, 4, 3, 3, 0)",2,2,False,False,unique
"(3, 0, 4, 1, 0)",2,2,False,False,unique
"(3, 1, 4, 0, 1)",2,2,False,False,unique
"(3, 1, 4, 1, 0)",2,2,False,False,unique
"(3, 1, 4, 1, 1)",2,2,False,False,unique
"(3, 1, 5, 1, 0)",2,2,False,False,unique
"(3, 1, 5, 1, 1)",2,2,False,False,unique
"(3, 2, 4, 2, 0)",2,1,False,True,defender pure-tied
"(3, 2, 4, 2, 1)",2,1,False,True,defender pure-tied
"(3, 2, 5, 2, 0)",3,2,False,True,defender face
"(3, 2, 5, 2, 1)",3,2,False,True,defender face
"(3, 3, 4, 3, 0)",2,2,False,False,unique
"(3, 3, 4, 3, 1)",2,2,False,False,unique
"(3, 3, 4, 4, 1)",2,2,False,False,unique
"(3, 3, 5, 3, 0)",2,2,False,False,unique
"(3, 3, 5, 3, 1)",2,2,False,False,unique
"(3, 4, 4, 3, 0)",2,2,False,False,unique
"(4, 0, 5, 1, 0)",2,2,False,False,unique
"(4, 0, 6, 0, 1)",3,3,True,False,carrier face
"(4, 1, 5, 0, 1)",2,2,False,False,unique
"(4, 1, 5, 1, 0)",2,2,False,False,unique
"(4, 1, 5, 1, 1)",2,2,False,False,unique
"(4, 1, 6, 1, 0)",2,2,False,False,unique
"(4, 2, 5, 2, 0)",2,1,False,True,defender pure-tied
"(4, 2, 5, 2, 1)",2,1,False,True,defender pure-tied
"(4, 2, 6, 2, 0)",3,2,False,True,defender face
"(4, 2, 6, 2, 1)",2,1,False,True,defender pure-tied
"(4, 3, 5, 3, 0)",2,2,False,False,unique
"(4, 3, 5, 3, 1)",2,2,False,False,unique
"(4, 3, 5, 4, 1)",2,2,False,False,unique
"(4, 3, 6, 3, 0)",2,2,False,False,unique
"(4, 4, 5, 3, 0)",2,2,False,False,unique
"(4, 4, 6, 4, 1)",3,3,True,False,carrier face
"(5, 0, 5, 1, 0)",2,2,False,False,unique
"(5, 0, 6, 1, 0)",2,2,False,False,unique
"(5, 1, 6, 0, 1)",2,2,True,False,carrier face
"(5, 1, 6, 1, 0)",2,2,False,False,unique
"(5, 1, 6, 1, 1)",2,2,False,False,unique
"(5, 2, 6, 2, 0)",2,1,False,True,defender pure-tied
"(5, 2, 6, 2, 1)",2,1,False,True,defender pure-tied
"(5, 3, 6, 3, 0)",2,2,False,False,unique
"(5, 3, 6, 3, 1)",2,2,False,False,unique
"(5, 3, 6, 4, 1)",2,2,True,False,carrier face
"(5, 4, 5, 3, 0)",2,2,False,False,unique
"(5, 4, 6, 3, 0)",2,2,False,False,unique
