part,board,goal_rows,goal_cells,contiguous,slip,move_order,states,mixed,pct,switch_ok
A,7x5,2,1,1,0.0,random,2380,0,0.0,1
A,7x5,1-2,2,1,0.0,random,2380,124,5.21,1
A,7x5,1-3,2,0,0.0,random,2380,90,3.78,1
A,7x5,0-4,2,0,0.0,random,2380,110,4.62,1
A,7x5,1-2-3,3,1,0.0,random,2380,94,3.95,1
A,7x5,0-2-4,3,0,0.0,random,2380,116,4.87,1
A,9x5,2,1,1,0.0,random,3960,0,0.0,1
A,9x5,1-2-3,3,1,0.0,random,3960,132,3.33,1
A,9x7,3,1,1,0.0,random,7812,0,0.0,1
A,9x7,2-3-4,3,1,0.0,random,7812,208,2.66,1
A,11x5,2,1,1,0.0,random,5940,0,0.0,1
A,11x5,1-2-3,3,1,0.0,random,5940,166,2.79,1
A,5x9,4,1,1,0.0,random,3960,0,0.0,1
A,5x9,3-4-5,3,1,0.0,random,3960,162,4.09,1
B,5x5,1-cell,1,1,0.0,deterministic,1200,0,0.0,
B,5x5,1-cell,1,1,0.1,deterministic,1200,62,5.17,
B,5x5,1-cell,1,1,0.2,deterministic,1200,54,4.5,
B,5x5,1-cell,1,1,0.3,deterministic,1200,58,4.83,
B,5x5,2-cell,2,1,0.0,deterministic,1200,0,0.0,
B,5x5,2-cell,2,1,0.1,deterministic,1200,70,5.83,
B,5x5,2-cell,2,1,0.2,deterministic,1200,64,5.33,
B,5x5,2-cell,2,1,0.3,deterministic,1200,54,4.5,
B,5x5,1-cell,1,1,0.0,random,1200,0,0.0,
B,5x5,1-cell,1,1,0.1,random,1200,62,5.17,
B,5x5,1-cell,1,1,0.2,random,1200,54,4.5,
B,5x5,1-cell,1,1,0.3,random,1200,52,4.33,
B,5x5,2-cell,2,1,0.0,random,1200,76,6.33,
B,5x5,2-cell,2,1,0.1,random,1200,92,7.67,
B,5x5,2-cell,2,1,0.2,random,1200,66,5.5,
B,5x5,2-cell,2,1,0.3,random,1200,62,5.17,
C,7x5,1-2-3,3,1,0.0,random,94,94,,
