sweep,depth,width,n_params,seed,train_time_s,max_value_error,mean_value_error,action_agreement,classification_agreement,duality_gap
width,2,32,1776,0,1.8,0.5943,0.0787,0.408,0.6067,0.9019
width,2,32,1776,1,1.9,0.457,0.0685,0.4492,0.5845,0.6725
width,2,64,5584,0,2.9,0.4615,0.0594,0.466,0.5139,0.5544
width,2,64,5584,1,3.0,0.44,0.0554,0.4664,0.4903,0.5648
width,2,96,11440,0,7.5,0.4165,0.0498,0.4534,0.466,0.4643
width,2,96,11440,1,9.6,0.4288,0.0507,0.4391,0.4689,0.4818
width,2,128,19344,0,11.9,0.3765,0.0411,0.4513,0.4903,0.4216
width,2,128,19344,1,9.5,0.323,0.04,0.4546,0.4647,0.4011
width,2,192,41296,0,20.6,0.2626,0.0304,0.4492,0.5265,0.3908
width,2,192,41296,1,16.4,0.2479,0.0294,0.4626,0.5227,0.3729
width,2,256,71440,0,25.6,0.2039,0.025,0.4424,0.5189,0.242
width,2,256,71440,1,139.7,0.2171,0.025,0.4592,0.5382,0.2672
width,2,512,273936,0,183.5,0.153,0.0141,0.4689,0.5693,0.1615
width,2,512,273936,1,179.8,0.1267,0.0172,0.4697,0.5571,0.1922
depth,1,96,2128,0,2.1,0.5023,0.0795,0.4294,0.7004,0.8282
depth,1,96,2128,1,2.0,0.5046,0.083,0.4521,0.7261,0.8181
depth,3,96,20752,0,25.9,0.1908,0.0277,0.466,0.5252,0.3568
depth,3,96,20752,1,12.0,0.2762,0.0275,0.4563,0.5239,0.3926
depth,4,96,30064,0,17.8,0.1683,0.0191,0.471,0.5567,0.2036
depth,4,96,30064,1,15.7,0.1886,0.0201,0.4853,0.5651,0.2877
both,3,256,137232,0,37.4,0.0758,0.0081,0.4777,0.5643,0.074
both,3,256,137232,1,43.6,0.0733,0.0086,0.4836,0.5563,0.0888
both,3,512,536592,0,144.5,0.0284,0.0036,0.4681,0.5735,0.0504
both,3,512,536592,1,167.8,0.0399,0.0049,0.4819,0.5597,0.0532
