x0,y0,x1,y1,b,occupancy,mixed
0,2,6,2,0,0.127323,0
1,2,5,2,0,0.114591,0
2,2,4,2,0,0.103270,1
2,3,5,2,0,0.062718,0
3,3,5,3,0,0.056447,1
3,2,5,2,0,0.043201,1
3,1,6,2,0,0.025737,0
4,1,6,1,0,0.023163,1
4,2,6,2,0,0.018180,1
3,2,4,2,1,0.015145,1
3,2,4,3,0,0.014460,0
2,2,4,1,1,0.012882,0
2,1,3,1,1,0.012176,1
5,2,6,2,0,0.012104,1
5,1,6,2,0,0.012046,0
2,2,3,2,1,0.011497,1
4,1,6,2,0,0.010394,0
5,1,6,1,0,0.010107,1
1,1,2,1,1,0.010035,1
2,1,5,2,0,0.009771,0
1,2,3,1,1,0.009652,0
1,2,2,2,1,0.009379,1
3,1,5,1,0,0.008794,1
0,2,1,2,1,0.008097,1
3,1,4,1,1,0.007971,1
0,2,2,1,1,0.007809,0
0,1,1,1,1,0.007318,1
4,2,5,2,1,0.006803,1
2,3,3,2,0,0.006697,0
4,3,5,2,0,0.006524,0
4,2,4,3,0,0.006507,0
0,2,1,1,1,0.006354,0
3,2,5,1,1,0.005881,0
5,2,4,4,0,0.005856,0
4,2,5,1,0,0.005826,0
6,1,6,2,0,0.005692,0
5,1,6,1,1,0.005509,1
6,2,4,4,0,0.005271,0
4,1,5,1,1,0.004629,1
2,3,3,3,1,0.003721,1
3,1,4,2,0,0.003696,0
4,1,5,2,0,0.003303,0
4,3,5,3,1,0.003160,1
0,2,0,1,1,0.003055,0
5,3,5,2,0,0.003037,0
3,3,3,2,0,0.003016,0
0,1,1,1,0,0.002923,1
1,1,3,2,1,0.002834,0
5,2,5,1,0,0.002622,0
3,2,4,1,0,0.002567,0
3,3,4,3,1,0.002436,1
4,2,5,2,0,0.002381,1
4,3,6,2,0,0.002320,0
5,3,6,3,0,0.002316,1
0,1,2,2,1,0.002221,0
6,3,3,4,0,0.002199,0
3,3,6,2,0,0.002186,0
4,1,4,0,1,0.002090,0
4,1,6,2,1,0.001999,0
4,3,6,3,0,0.001967,1
5,2,6,2,1,0.001959,1
3,1,3,0,1,0.001881,0
2,1,2,0,1,0.001785,0
4,2,5,0,1,0.001727,0
4,2,6,1,1,0.001717,0
4,1,4,2,0,0.001695,0
4,1,5,1,0,0.001670,1
4,3,5,3,0,0.001661,1
1,1,1,0,1,0.001649,1
5,3,6,2,0,0.001612,0
5,1,5,2,0,0.001588,0
5,1,4,3,0,0.001526,0
2,1,4,2,1,0.001520,0
6,1,5,3,0,0.001429,0
1,2,2,2,0,0.001400,1
1,1,2,1,0,0.001382,1
6,1,4,4,0,0.001373,0
6,3,5,3,0,0.001367,0
6,3,5,2,0,0.001367,0
4,3,3,2,0,0.001357,0
4,3,3,3,0,0.001357,0
3,2,4,2,0,0.001335,1
2,1,3,1,0,0.001323,1
1,3,2,3,1,0.001307,1
5,3,3,3,0,0.001222,0
5,3,3,4,0,0.001222,0
1,1,3,2,0,0.001210,0
5,2,6,1,0,0.001183,0
6,2,5,1,0,0.001180,0
6,2,5,2,0,0.001180,0
4,2,5,4,1,0.001179,0
4,2,4,1,0,0.001155,0
4,1,6,0,1,0.001149,0
0,1,2,0,1,0.001135,0
