move_order,gamma,width,height,goal_rows,rel_tol,states,pure_states,degenerate_states,mixed_states,mixed_fraction,iterations,lp_calls,runtime_s,kickoff_value,max_value_bracket_gap,duality_gap
random,0.9,3,3,1,1e-06,144,24,120,0,0.0,7,0,0.017,0.0,0.0,nan
random,0.9,3,5,2,1e-06,420,40,380,0,0.0,8,0,0.054,0.0,0.0,nan
random,0.9,3,7,3,1e-06,840,48,792,0,0.0,9,0,0.117,0.0,0.0,nan
random,0.9,3,9,4,1e-06,1404,56,1348,0,0.0,10,0,0.214,0.0,0.0,nan
random,0.9,5,3,1,1e-06,420,40,380,0,0.0,11,0,0.07,0.0,0.0,nan
random,0.9,5,5,2,1e-06,1200,56,1144,0,0.0,12,0,0.215,0.0,0.0,nan
random,0.9,5,7,3,1e-06,2380,72,2308,0,0.0,13,0,0.454,0.0,0.0,nan
random,0.9,5,9,4,1e-06,3960,88,3872,0,0.0,14,0,0.812,0.0,0.0,nan
random,0.9,7,3,1,1e-06,840,56,784,0,0.0,15,0,0.184,0.0,0.0,nan
random,0.9,7,5,2,1e-06,2380,72,2308,0,0.0,16,0,0.551,0.0,0.0,nan
random,0.9,7,7,3,1e-06,4704,88,4616,0,0.0,17,0,1.144,0.0,0.0,nan
random,0.9,9,3,1,1e-06,1404,72,1332,0,0.0,19,0,0.383,0.0,0.0,nan
random,0.9,9,5,2,1e-06,3960,88,3872,0,0.0,20,0,1.13,0.0,0.0,nan
random,0.9,11,3,1,1e-06,2112,88,2024,0,0.0,23,0,0.682,0.0,0.0,nan
random,0.9,11,5,2,1e-06,5940,104,5836,0,0.0,24,0,2.013,0.0,0.0,nan
random,0.5,7,5,2,1e-06,2380,72,2308,0,0.0,16,0,0.549,0.0,0.0,nan
random,0.7,7,5,2,1e-06,2380,72,2308,0,0.0,16,0,0.551,0.0,0.0,nan
random,0.95,7,5,2,1e-06,2380,72,2308,0,0.0,16,0,0.551,0.0,0.0,nan
random,0.99,7,5,2,1e-06,2380,72,2308,0,0.0,16,0,0.552,0.0,0.0,nan
