width,height,goal_width,gamma,states,reachable,mixed_states,mixed_fraction,mixed_fraction_reachable,iterations,lp_calls,runtime_s
3,3,1,0.9,144,144,0,0.0,0.0,7,0,0.02
3,4,1,0.9,264,264,0,0.0,0.0,7,0,0.03
3,4,2,0.9,264,264,32,0.121212,0.121212,44,1284,1.55
3,5,1,0.9,420,420,0,0.0,0.0,8,0,0.05
3,5,2,0.9,420,420,40,0.095238,0.095238,44,1618,1.97
3,5,3,0.9,420,420,38,0.090476,0.090476,58,2040,2.48
3,6,1,0.9,612,612,0,0.0,0.0,8,0,0.08
3,6,2,0.9,612,612,44,0.071895,0.071895,42,1720,2.19
3,6,3,0.9,612,612,44,0.071895,0.071895,59,2430,3.01
3,6,4,0.9,612,612,44,0.071895,0.071895,56,2314,2.85
3,7,1,0.9,840,840,0,0.0,0.0,9,0,0.12
3,7,2,0.9,840,840,58,0.069048,0.069048,43,2276,2.92
3,7,3,0.9,840,840,50,0.059524,0.059524,59,2782,3.53
3,7,4,0.9,840,840,50,0.059524,0.059524,57,2698,3.44
3,7,5,0.9,840,840,50,0.059524,0.059524,68,3194,4.08
3,8,1,0.9,1104,1104,0,0.0,0.0,9,0,0.16
3,8,2,0.9,1104,1104,68,0.061594,0.061594,43,2652,3.45
3,8,3,0.9,1104,1104,62,0.056159,0.056159,60,3474,4.56
3,8,4,0.9,1104,1104,56,0.050725,0.050725,57,3038,4.02
3,8,5,0.9,1104,1104,56,0.050725,0.050725,68,3600,4.76
3,8,6,0.9,1104,1104,56,0.050725,0.050725,68,3590,4.71
3,9,1,0.9,1404,1404,0,0.0,0.0,10,0,0.22
3,9,2,0.9,1404,1404,82,0.058405,0.058405,44,3232,4.29
3,9,3,0.9,1404,1404,74,0.052707,0.052707,60,4116,5.4
3,9,4,0.9,1404,1404,68,0.048433,0.048433,58,3712,4.98
3,9,5,0.9,1404,1404,62,0.04416,0.04416,68,4006,5.43
3,9,6,0.9,1404,1404,62,0.04416,0.04416,68,3996,5.4
3,9,7,0.9,1404,1404,62,0.04416,0.04416,68,3934,5.39
4,3,1,0.9,264,264,0,0.0,0.0,9,0,0.04
4,4,1,0.9,480,480,0,0.0,0.0,9,0,0.07
4,4,2,0.9,480,480,40,0.083333,0.083333,62,2352,2.86
4,5,1,0.9,760,760,0,0.0,0.0,10,0,0.12
4,5,2,0.9,760,760,64,0.084211,0.084211,63,3752,4.59
4,5,3,0.9,760,760,46,0.060526,0.060526,74,3234,4.13
4,6,1,0.9,1104,1104,0,0.0,0.0,10,0,0.17
4,6,2,0.9,1104,1104,80,0.072464,0.072464,63,4684,5.92
4,6,3,0.9,1104,1104,64,0.057971,0.057971,74,4502,5.79
4,6,4,0.9,1104,1104,56,0.050725,0.050725,74,3986,5.23
4,7,1,0.9,1512,1512,0,0.0,0.0,11,0,0.26
4,7,2,0.9,1512,1512,106,0.070106,0.070106,63,6126,7.66
4,7,3,0.9,1512,1512,82,0.054233,0.054233,74,5770,7.5
4,7,4,0.9,1512,1512,74,0.048942,0.048942,75,5290,7.02
4,7,5,0.9,1512,1512,66,0.043651,0.043651,80,5062,6.79
4,8,1,0.9,1984,1984,0,0.0,0.0,11,0,0.34
4,8,2,0.9,1984,1984,124,0.0625,0.0625,63,7148,9.14
4,8,3,0.9,1984,1984,98,0.049395,0.049395,74,6872,9.04
4,8,4,0.9,1984,1984,92,0.046371,0.046371,75,6538,8.79
4,8,5,0.9,1984,1984,84,0.042339,0.042339,81,6488,8.82
4,8,6,0.9,1984,1984,76,0.038306,0.038306,80,5824,8.15
4,9,1,0.9,2520,2520,0,0.0,0.0,12,0,0.46
4,9,2,0.9,2520,2520,156,0.061905,0.061905,65,9156,11.67
4,9,3,0.9,2520,2520,114,0.045238,0.045238,74,7974,10.67
4,9,4,0.9,2520,2520,108,0.042857,0.042857,76,7774,10.67
4,9,5,0.9,2520,2520,102,0.040476,0.040476,81,7848,10.9
4,9,6,0.9,2520,2520,94,0.037302,0.037302,80,7166,10.1
4,9,7,0.9,2520,2520,86,0.034127,0.034127,80,6548,9.48
5,3,1,0.9,420,420,0,0.0,0.0,11,0,0.07
5,4,1,0.9,760,760,0,0.0,0.0,11,0,0.13
5,4,2,0.9,760,760,56,0.073684,0.073684,72,3820,4.65
5,5,1,0.9,1200,1200,0,0.0,0.0,12,0,0.22
5,5,2,0.9,1200,1200,76,0.063333,0.063333,72,5178,6.48
5,5,3,0.9,1200,1200,54,0.045,0.045,81,4284,5.75
5,6,1,0.9,1740,1740,0,0.0,0.0,12,0,0.32
5,6,2,0.9,1740,1740,96,0.055172,0.055172,72,6544,8.41
5,6,3,0.9,1740,1740,72,0.041379,0.041379,82,5738,7.79
5,6,4,0.9,1740,1740,68,0.03908,0.03908,87,5842,8.06
5,7,1,0.9,2380,2380,0,0.0,0.0,13,0,0.47
5,7,2,0.9,2380,2380,124,0.052101,0.052101,74,8734,11.38
5,7,3,0.9,2380,2380,90,0.037815,0.037815,82,7138,10.0
5,7,4,0.9,2380,2380,86,0.036134,0.036134,87,7332,10.41
5,7,5,0.9,2380,2380,80,0.033613,0.033613,97,7660,11.02
5,8,1,0.9,3120,3120,0,0.0,0.0,13,0,0.62
5,8,2,0.9,3120,3120,152,0.048718,0.048718,74,10740,14.41
5,8,3,0.9,3120,3120,126,0.040385,0.040385,83,9894,13.67
5,8,4,0.9,3120,3120,104,0.033333,0.033333,87,8822,12.81
5,8,5,0.9,3120,3120,98,0.03141,0.03141,97,9342,13.99
5,8,6,0.9,3120,3120,92,0.029487,0.029487,89,8060,12.15
5,9,1,0.9,3960,3960,0,0.0,0.0,14,0,0.84
5,9,2,0.9,3960,3960,186,0.04697,0.04697,75,12978,17.51
5,9,3,0.9,3960,3960,162,0.040909,0.040909,83,12560,17.45
5,9,4,0.9,3960,3960,138,0.034848,0.034848,88,11748,16.95
5,9,5,0.9,3960,3960,116,0.029293,0.029293,97,11024,16.79
5,9,6,0.9,3960,3960,110,0.027778,0.027778,89,9600,14.75
5,9,7,0.9,3960,3960,106,0.026768,0.026768,100,10376,16.07
6,3,1,0.9,612,612,0,0.0,0.0,13,0,0.13
6,4,1,0.9,1104,1104,0,0.0,0.0,13,0,0.22
6,4,2,0.9,1104,1104,88,0.07971,0.07971,74,5984,7.35
6,5,1,0.9,1740,1740,0,0.0,0.0,14,0,0.37
6,5,2,0.9,1740,1740,104,0.05977,0.05977,77,7490,9.62
6,5,3,0.9,1740,1740,70,0.04023,0.04023,77,5210,7.27
6,6,1,0.9,2520,2520,0,0.0,0.0,14,0,0.53
6,6,2,0.9,2520,2520,128,0.050794,0.050794,80,9664,12.92
6,6,3,0.9,2520,2520,100,0.039683,0.039683,78,7416,10.4
6,6,4,0.9,2520,2520,88,0.034921,0.034921,96,8214,11.76
6,7,1,0.9,3444,3444,0,0.0,0.0,15,0,0.78
6,7,2,0.9,3444,3444,154,0.044715,0.044715,80,11522,15.65
6,7,3,0.9,3444,3444,130,0.037747,0.037747,78,9548,13.71
6,7,4,0.9,3444,3444,122,0.035424,0.035424,96,11110,15.92
6,7,5,0.9,3444,3444,104,0.030197,0.030197,101,10232,15.37
7,3,1,0.9,840,840,0,0.0,0.0,15,0,0.19
7,4,1,0.9,1512,1512,0,0.0,0.0,15,0,0.34
7,4,2,0.9,1512,1512,100,0.066138,0.066138,70,6452,8.21
7,5,1,0.9,2380,2380,0,0.0,0.0,16,0,0.57
7,5,2,0.9,2380,2380,124,0.052101,0.052101,76,8864,11.73
7,5,3,0.9,2380,2380,94,0.039496,0.039496,108,9672,13.46
